nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	74.9159
Total grid length: 	81.3015
Total number of grid points: 	813
Distance at last grid point: 	81.4
Imag time prop grid with size: g_load.size() = 1000
  is fit into
Real time prop grid with size: g_prop.size() = 40650
Now I am storing
Norm of orbital: 1.000000e+00
timestep 68000 of 666781, Norm of wave function: 0.994632
timestep 68200 of 666781, Norm of wave function: 0.994593
timestep 68400 of 666781, Norm of wave function: 0.994552
timestep 68600 of 666781, Norm of wave function: 0.994512
timestep 68800 of 666781, Norm of wave function: 0.99447
timestep 69000 of 666781, Norm of wave function: 0.994428
timestep 69200 of 666781, Norm of wave function: 0.994386
timestep 69400 of 666781, Norm of wave function: 0.994343
timestep 69600 of 666781, Norm of wave function: 0.9943
timestep 69800 of 666781, Norm of wave function: 0.994255
timestep 70000 of 666781, Norm of wave function: 0.994211
timestep 70200 of 666781, Norm of wave function: 0.994166
timestep 70400 of 666781, Norm of wave function: 0.99412
timestep 70600 of 666781, Norm of wave function: 0.994074
timestep 70800 of 666781, Norm of wave function: 0.994027
timestep 71000 of 666781, Norm of wave function: 0.993979
timestep 71200 of 666781, Norm of wave function: 0.993931
timestep 71400 of 666781, Norm of wave function: 0.993883
timestep 71600 of 666781, Norm of wave function: 0.993834
timestep 71800 of 666781, Norm of wave function: 0.993784
timestep 72000 of 666781, Norm of wave function: 0.993734
timestep 72200 of 666781, Norm of wave function: 0.993683
timestep 72400 of 666781, Norm of wave function: 0.993631
timestep 72600 of 666781, Norm of wave function: 0.993579
timestep 72800 of 666781, Norm of wave function: 0.993526
timestep 73000 of 666781, Norm of wave function: 0.993473
timestep 73200 of 666781, Norm of wave function: 0.993419
timestep 73400 of 666781, Norm of wave function: 0.993364
timestep 73600 of 666781, Norm of wave function: 0.993309
timestep 73800 of 666781, Norm of wave function: 0.993252
timestep 74000 of 666781, Norm of wave function: 0.993196
timestep 74200 of 666781, Norm of wave function: 0.993138
timestep 74400 of 666781, Norm of wave function: 0.99308
timestep 74600 of 666781, Norm of wave function: 0.993021
timestep 74800 of 666781, Norm of wave function: 0.992961
timestep 75000 of 666781, Norm of wave function: 0.992901
timestep 75200 of 666781, Norm of wave function: 0.992839
timestep 75400 of 666781, Norm of wave function: 0.992777
timestep 75600 of 666781, Norm of wave function: 0.992714
timestep 75800 of 666781, Norm of wave function: 0.99265
timestep 76000 of 666781, Norm of wave function: 0.992585
timestep 76200 of 666781, Norm of wave function: 0.99252
timestep 76400 of 666781, Norm of wave function: 0.992453
timestep 76600 of 666781, Norm of wave function: 0.992386
timestep 76800 of 666781, Norm of wave function: 0.992317
timestep 77000 of 666781, Norm of wave function: 0.992247
timestep 77200 of 666781, Norm of wave function: 0.992177
timestep 77400 of 666781, Norm of wave function: 0.992105
timestep 77600 of 666781, Norm of wave function: 0.992032
timestep 77800 of 666781, Norm of wave function: 0.991958
timestep 78000 of 666781, Norm of wave function: 0.991883
timestep 78200 of 666781, Norm of wave function: 0.991807
timestep 78400 of 666781, Norm of wave function: 0.99173
timestep 78600 of 666781, Norm of wave function: 0.991652
timestep 78800 of 666781, Norm of wave function: 0.991572
timestep 79000 of 666781, Norm of wave function: 0.991491
timestep 79200 of 666781, Norm of wave function: 0.991409
timestep 79400 of 666781, Norm of wave function: 0.991326
timestep 79600 of 666781, Norm of wave function: 0.991241
timestep 79800 of 666781, Norm of wave function: 0.991155
timestep 80000 of 666781, Norm of wave function: 0.991068
timestep 80200 of 666781, Norm of wave function: 0.99098
timestep 80400 of 666781, Norm of wave function: 0.99089
timestep 80600 of 666781, Norm of wave function: 0.990799
timestep 80800 of 666781, Norm of wave function: 0.990706
timestep 81000 of 666781, Norm of wave function: 0.990612
timestep 81200 of 666781, Norm of wave function: 0.990517
timestep 81400 of 666781, Norm of wave function: 0.990421
timestep 81600 of 666781, Norm of wave function: 0.990323
timestep 81800 of 666781, Norm of wave function: 0.990224
timestep 82000 of 666781, Norm of wave function: 0.990123
timestep 82200 of 666781, Norm of wave function: 0.990021
timestep 82400 of 666781, Norm of wave function: 0.989918
timestep 82600 of 666781, Norm of wave function: 0.989813
timestep 82800 of 666781, Norm of wave function: 0.989707
timestep 83000 of 666781, Norm of wave function: 0.989599
timestep 83200 of 666781, Norm of wave function: 0.98949
timestep 83400 of 666781, Norm of wave function: 0.98938
timestep 83600 of 666781, Norm of wave function: 0.989268
timestep 83800 of 666781, Norm of wave function: 0.989155
timestep 84000 of 666781, Norm of wave function: 0.98904
timestep 84200 of 666781, Norm of wave function: 0.988924
timestep 84400 of 666781, Norm of wave function: 0.988806
timestep 84600 of 666781, Norm of wave function: 0.988687
timestep 84800 of 666781, Norm of wave function: 0.988567
timestep 85000 of 666781, Norm of wave function: 0.988445
timestep 85200 of 666781, Norm of wave function: 0.988322
timestep 85400 of 666781, Norm of wave function: 0.988197
timestep 85600 of 666781, Norm of wave function: 0.988071
timestep 85800 of 666781, Norm of wave function: 0.987943
timestep 86000 of 666781, Norm of wave function: 0.987814
timestep 86200 of 666781, Norm of wave function: 0.987684
timestep 86400 of 666781, Norm of wave function: 0.987551
timestep 86600 of 666781, Norm of wave function: 0.987418
timestep 86800 of 666781, Norm of wave function: 0.987282
timestep 87000 of 666781, Norm of wave function: 0.987145
timestep 87200 of 666781, Norm of wave function: 0.987007
timestep 87400 of 666781, Norm of wave function: 0.986866
timestep 87600 of 666781, Norm of wave function: 0.986724
timestep 87800 of 666781, Norm of wave function: 0.986581
timestep 88000 of 666781, Norm of wave function: 0.986435
timestep 88200 of 666781, Norm of wave function: 0.986288
timestep 88400 of 666781, Norm of wave function: 0.986139
timestep 88600 of 666781, Norm of wave function: 0.985988
timestep 88800 of 666781, Norm of wave function: 0.985836
timestep 89000 of 666781, Norm of wave function: 0.985681
timestep 89200 of 666781, Norm of wave function: 0.985525
timestep 89400 of 666781, Norm of wave function: 0.985366
timestep 89600 of 666781, Norm of wave function: 0.985205
timestep 89800 of 666781, Norm of wave function: 0.985043
timestep 90000 of 666781, Norm of wave function: 0.984878
timestep 90200 of 666781, Norm of wave function: 0.984711
timestep 90400 of 666781, Norm of wave function: 0.984542
timestep 90600 of 666781, Norm of wave function: 0.984371
timestep 90800 of 666781, Norm of wave function: 0.984197
timestep 91000 of 666781, Norm of wave function: 0.984021
timestep 91200 of 666781, Norm of wave function: 0.983843
timestep 91400 of 666781, Norm of wave function: 0.983662
timestep 91600 of 666781, Norm of wave function: 0.983479
timestep 91800 of 666781, Norm of wave function: 0.983293
timestep 92000 of 666781, Norm of wave function: 0.983105
timestep 92200 of 666781, Norm of wave function: 0.982914
timestep 92400 of 666781, Norm of wave function: 0.982721
timestep 92600 of 666781, Norm of wave function: 0.982525
timestep 92800 of 666781, Norm of wave function: 0.982327
timestep 93000 of 666781, Norm of wave function: 0.982125
timestep 93200 of 666781, Norm of wave function: 0.981921
timestep 93400 of 666781, Norm of wave function: 0.981715
timestep 93600 of 666781, Norm of wave function: 0.981505
