{2.9491679221068945*^-7 - 0.00020706689956825425*I, 0. + 0.*I, 0. + 0.*I}
{3.5969724600650197*^-7 - 0.00024349711851525213*I, 0. + 0.*I, 0. + 0.*I}
{4.303734115721195*^-7 - 0.0002828798609460165*I, 0. + 0.*I, 0. + 0.*I}
{5.067657683997329*^-7 - 0.00032508962375363975*I, 0. + 0.*I, 0. + 0.*I}
{5.886245765500893*^-7 - 0.0003699637105938268*I, 0. + 0.*I, 0. + 0.*I}
{6.75628431284722*^-7 - 0.0004173018045712376*I, 0. + 0.*I, 0. + 0.*I}
{7.673835072421785*^-7 - 0.0004668659234192347*I, 0. + 0.*I, 0. + 0.*I}
{8.634235348903883*^-7 - 0.0005183807760694986*I, 0. + 0.*I, 0. + 0.*I}
{9.632105458159976*^-7 - 0.0005715345358010334*I, 0. + 0.*I, 0. + 0.*I}
{1.0661364166970874*^-6 - 0.0006259800411173609*I, 0. + 0.*I, 0. + 0.*I}
{1.1715252344096514*^-6 - 0.0006813364311618029*I, 0. + 0.*I, 0. + 0.*I}
{1.2786364965914509*^-6 - 0.0007371912178867708*I, 0. + 0.*I, 0. + 0.*I}
{1.3866691536994008*^-6 - 0.000793102792386524*I, 0. + 0.*I, 0. + 0.*I}
{1.4947664892224755*^-6 - 0.0008486033578375643*I, 0. + 0.*I, 0. + 0.*I}
{1.6020218257098794*^-6 - 0.0009032022764156915*I, 0. + 0.*I, 0. + 0.*I}
{1.7074850344025432*^-6 - 0.0009563898124334654*I, 0. + 0.*I, 0. + 0.*I}
{1.8101698163525675*^-6 - 0.001007641248822476*I, 0. + 0.*I, 0. + 0.*I}
{1.9090617131966823*^-6 - 0.001056421349031171*I, 0. + 0.*I, 0. + 0.*I}
{2.0031267955569613*^-6 - 0.001102189131482126*I, 0. + 0.*I, 0. + 0.*I}
{2.091320967365563*^-6 - 0.0011444029189916132*I, 0. + 0.*I, 0. + 0.*I}
{2.1725998148367133*^-6 - 0.0011825256210597852*I, 0. + 0.*I, 0. + 0.*I}
{2.2459289196486743*^-6 - 0.0012160302027463396*I, 0. + 0.*I, 0. + 0.*I}
{2.310294547011478*^-6 - 0.0012444052900142616*I, 0. + 0.*I, 0. + 0.*I}
{2.3647146113132855*^-6 - 0.001267160857999617*I, 0. + 0.*I, 0. + 0.*I}
{2.408249814673514*^-6 - 0.0012838339457016022*I, 0. + 0.*I, 0. + 0.*I}
{2.4400148468985167*^-6 - 0.001293994338125577*I, 0. + 0.*I, 0. + 0.*I}
{2.4591895300266816*^-6 - 0.0012972501549930807*I, 0. + 0.*I, 0. + 0.*I}
{2.465029785700447*^-6 - 0.0012932532837915036*I, 0. + 0.*I, 0. + 0.*I}
{2.456878300387037*^-6 - 0.0012817045941997346*I, 0. + 0.*I, 0. + 0.*I}
{2.4341747610448035*^-6 - 0.0012623588708187698*I, 0. + 0.*I, 0. + 0.*I}
{2.3964655329909643*^-6 - 0.0012350294016748075*I, 0. + 0.*I, 0. + 0.*I}
{2.3434126521827105*^-6 - 0.0011995921611569422*I, 0. + 0.*I, 0. + 0.*I}
{2.2748020056406904*^-6 - 0.0011559895279073776*I, 0. + 0.*I, 0. + 0.*I}
{2.1905505774402615*^-6 - 0.0011042334806983405*I, 0. + 0.*I, 0. + 0.*I}
{2.0907126423909795*^-6 - 0.001044408218497667*I, 0. + 0.*I, 0. + 0.*I}
{1.975484795291616*^-6 - 0.0009766721547335036*I, 0. + 0.*I, 0. + 0.*I}
{1.8452097123660593*^-6 - 0.0009012592401955956*I, 0. + 0.*I, 0. + 0.*I}
{1.7003785495581473*^-6 - 0.0008184795740362588*I, 0. + 0.*I, 0. + 0.*I}
{1.5416318940922998*^-6 - 0.0007287192679238283*I, 0. + 0.*I, 0. + 0.*I}
{1.3697591967245564*^-6 - 0.0006324395345261393*I, 0. + 0.*I, 0. + 0.*I}
{1.185696626282444*^-6 - 0.0005301749781170022*I, 0. + 0.*I, 0. + 0.*I}
{9.905233018539126*^-7 - 0.00042253107216662345*I, 0. + 0.*I, 0. + 0.*I}
{7.854558739971822*^-7 - 0.00031018081624503344*I, 0. + 0.*I, 0. + 0.*I}
{5.71841442656346*^-7 - 0.0001938605723883771*I, 0. + 0.*I, 0. + 0.*I}
{3.511488169137628*^-7 - 0.00007436508919305185*I, 0. + 0.*I, 0. + 0.*I}
{1.249581396761042*^-7 + 0.00004745826974409345*I, 0. + 0.*I, 0. + 0.*I}
{-1.0505108123053584*^-7 + 0.00017071606789420305*I, 0. + 0.*I, 0. + 0.*I}
{-3.3711347510623216*^-7 + 0.00029447607459136683*I, 0. + 0.*I, 0. + 0.*I}
{-5.693927643540931*^-7 + 0.00041777523809475485*I, 0. + 0.*I, 0. + 0.*I}
{-7.999980763085038*^-7 + 0.0005396283018126956*I, 0. + 0.*I, 0. + 0.*I}
{-1.0270014943687156*^-6 + 0.0006590370040436748*I, 0. + 0.*I, 0. + 0.*I}
{-1.2484567137972206*^-6 + 0.0007749997932332902*I, 0. + 0.*I, 0. + 0.*I}
{-1.4624186504378661*^-6 + 0.000886521982655453*I, 0. + 0.*I, 0. + 0.*I}
{-1.6669638340172657*^-6 + 0.0009926262606824092*I, 0. + 0.*I, 0. + 0.*I}
{-1.8602114028813757*^-6 + 0.0010923634654986685*I, 0. + 0.*I, 0. + 0.*I}
{-2.040344502774991*^-6 + 0.00118482352632661*I, 0. + 0.*I, 0. + 0.*I}
{-2.20563188052584*^-6 + 0.0012691464670536836*I, 0. + 0.*I, 0. + 0.*I}
{-2.354449452392663*^-6 + 0.0013445333626778836*I, 0. + 0.*I, 0. + 0.*I}
{-2.4853016191796783*^-6 + 0.0014102571343063905*I, 0. + 0.*I, 0. + 0.*I}
{-2.5968420926266363*^-6 + 0.001465673064647483*I, 0. + 0.*I, 0. + 0.*I}
{-2.687893994595606*^-6 + 0.0015102289131155868*I, 0. + 0.*I, 0. + 0.*I}
{-2.7574689879459843*^-6 + 0.0015434745079130404*I, 0. + 0.*I, 0. + 0.*I}
{-2.804785198906718*^-6 + 0.0015650706918451276*I, 0. + 0.*I, 0. + 0.*I}
{-2.8292836942742833*^-6 + 0.0015747974992456973*I, 0. + 0.*I, 0. + 0.*I}
{-2.8306432824828182*^-6 + 0.0015725614433148144*I, 0. + 0.*I, 0. + 0.*I}
{-2.8087934157349667*^-6 + 0.0015584017964615803*I, 0. + 0.*I, 0. + 0.*I}
{-2.763924982889998*^-6 + 0.0015324957509602187*I, 0. + 0.*I, 0. + 0.*I}
